政策标题,政策链接,分类,发布部门,发布时间,验证状态,验证时间
徐汇区关于推动具身智能产业发展的若干意见,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab01934dd6cfbd09bb,AI/人工智能,徐汇区新型工业化推进办,2024-11-21,✅ 已验证,2025-06-04T12:32:04.795600
徐汇区关于推动人工智能产业高质量发展的若干意见,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab01934dd52e3d09b9,AI/人工智能,徐汇区新型工业化推进办,2024-11-21,✅ 已验证,2025-06-04T12:32:05.484442
徐汇区关于支持低空经济产业发展的扶持意见（试行）,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab01934dd3b1c409b7,产业发展,徐汇区新型工业化推进办,2024-11-21,✅ 已验证,2025-06-04T12:32:06.174578
徐汇区关于支持西岸人工智能大模型科创街区的扶持意见,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0192e1617de30643,AI/人工智能,徐汇区新型工业化推进办,2024-10-31,✅ 已验证,2025-06-04T12:32:06.854674
《徐汇区关于支持西岸人工智能大模型科创街区建设的扶持意见》的政策解读,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0192d0b4816d0493,AI/人工智能,徐汇区新型工业化推进办,2024-10-28,✅ 已验证,2025-06-04T12:32:07.541156
2024年徐汇区小微企业贴息贴费（第一批）审核通过名单,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c06920eedbe0192235ebcb3003e,AI/人工智能,徐汇区新型工业化推进办,2024-09-24,✅ 已验证,2025-06-04T12:32:08.368864
徐汇区新型工业化推进办公室信息公开指南,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0691eb9e11019203e2a8880062,产业发展,徐汇区新型工业化推进办,2024-09-18,✅ 已验证,2025-06-04T12:32:09.053950
徐汇区新型工业化推进办公室下属单位,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0691eb9e11019203e2188e0060,产业发展,徐汇区新型工业化推进办,2024-09-18,✅ 已验证,2025-06-04T12:32:09.743243
徐汇区新型工业化推进办公室领导分工,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0691eb9e11019203e18611005e,产业发展,徐汇区新型工业化推进办,2024-09-18,✅ 已验证,2025-06-04T12:32:10.441676
上海市徐汇区新型工业化推进办公室机关介绍,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0691eb9e11019203e0b48d005c,产业发展,徐汇区新型工业化推进办,2024-09-18,✅ 已验证,2025-06-04T12:32:11.133202
上海市徐汇区新型工业化推进办公室机构设置,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0691eb9e11019203dfc981005a,产业发展,徐汇区新型工业化推进办,2024-09-18,✅ 已验证,2025-06-04T12:32:11.824012
上海市徐汇区新型工业化推进办公室机关职能,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0691eb9e11019203dc97c80058,产业发展,徐汇区新型工业化推进办,2024-09-18,✅ 已验证,2025-06-04T12:32:12.619656
上海市廉租住房申请家庭复审公示（2025年5月28日),https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d01971586d610037d,住房保障,徐汇区住房保障和房屋管理局,2025年5月28日,✅ 已验证,2025-06-04T12:32:13.310477
上海市廉租住房申请家庭复审公示（2025年5月28日),https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0197158dc4fa0380,住房保障,徐汇区住房保障和房屋管理局,2025年5月28日,✅ 已验证,2025-06-04T12:32:13.988449
上海市廉租住房申请家庭复审公示（2025年5月23日),https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196fbe1cfd801ad,住房保障,徐汇区住房保障和房屋管理局,2025年5月23日,✅ 已验证,2025-06-04T12:32:14.666356
上海市廉租住房申请家庭复审公示（2025年5月21日),https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196f1b1b401014b,住房保障,徐汇区住房保障和房屋管理局,2025年5月21日,✅ 已验证,2025-06-04T12:32:15.343579
上海市廉租住房申请家庭复审公示（2025年5月15日)2,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196d2e55cac0075,住房保障,徐汇区住房保障和房屋管理局,2025年5月15日,✅ 已验证,2025-06-04T12:32:16.364175
上海市廉租住房申请家庭复审公示（2025年5月15日),https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196d19436d4006e,住房保障,徐汇区住房保障和房屋管理局,2025年5月15日,✅ 已验证,2025-06-04T12:32:17.047968
徐汇区住房保障和房屋管理局2024年保障性安居工程中央专项补助资金分配结果,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196cc8571fe003e,住房保障,徐汇区住房保障和房屋管理局,2025-05-14,✅ 已验证,2025-06-04T12:32:17.746830
（投资中国）在华外企加码中国市场 愿与中国经济“同频共振”时间：2025-06-03,https://www.xuhui.gov.cn/gwyxx_gwyxx/20250603/557907.html,产业发展,,2025-06-03,✅ 已验证,2025-06-04T12:32:18.395734
热评丨织密“服务网” 让“好人才”遇见“好职位”时间：2025-06-03,https://www.xuhui.gov.cn/gwyxx_gwyxx/20250603/557877.html,AI/人工智能,,2025-06-03,✅ 已验证,2025-06-04T12:32:19.042936
本区域包含繁简体切换、无障碍工具条打开按钮、关怀版打开按钮，请使用tab按钮切换浏览,https://www.xuhui.gov.cn/fangtuju/,住房保障,徐汇区房管局,2025-05-27,✅ 已验证,2025-06-04T12:32:19.733860
上海市廉租住房申请家庭复审公示（2025年5月28日),https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d01971586d610037d,住房保障,徐汇区住房保障和房屋管理局,2025年5月28日,✅ 已验证,2025-06-04T12:32:20.414392
上海市廉租住房申请家庭复审公示（2025年5月28日),https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0197158dc4fa0380,住房保障,徐汇区住房保障和房屋管理局,2025年5月28日,✅ 已验证,2025-06-04T12:32:21.095550
上海市廉租住房申请家庭复审公示（2025年5月23日),https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196fbe1cfd801ad,住房保障,徐汇区住房保障和房屋管理局,2025年5月23日,✅ 已验证,2025-06-04T12:32:21.790807
上海市廉租住房申请家庭复审公示（2025年5月21日),https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196f1b1b401014b,住房保障,徐汇区住房保障和房屋管理局,2025年5月21日,✅ 已验证,2025-06-04T12:32:22.705217
上海市廉租住房申请家庭复审公示（2025年5月15日)2,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196d2e55cac0075,住房保障,徐汇区住房保障和房屋管理局,2025年5月15日,✅ 已验证,2025-06-04T12:32:23.391819
上海市廉租住房申请家庭复审公示（2025年5月15日),https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196d19436d4006e,住房保障,徐汇区住房保障和房屋管理局,2025年5月15日,✅ 已验证,2025-06-04T12:32:24.078322
徐汇区住房保障和房屋管理局2024年保障性安居工程中央专项补助资金分配结果,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196cc8571fe003e,住房保障,徐汇区住房保障和房屋管理局,2025-05-14,✅ 已验证,2025-06-04T12:32:24.928782
徐汇新增一个保障性租赁住房社区，看看“城市理想生活样板间”长什么样时间：2025-05-27,https://www.xuhui.gov.cn/zfjg_qzfbm_fgj_bmdt/20250526/557401.html,住房保障,徐汇区房管局,2025-05-27,✅ 已验证,2025-06-04T12:32:25.594602
伍月｜游心寓目 卫乐公寓时间：2025-05-20,https://www.xuhui.gov.cn/zfjg_qzfbm_fgj_bmdt/20250514/556864.html,其他,徐汇区房管局,2025-05-20,✅ 已验证,2025-06-04T12:32:26.259929
筑牢“五一”住房安全防线，区房管局开展安全生产大检查时间：2025-05-13,https://www.xuhui.gov.cn/zfjg_qzfbm_fgj_bmdt/20250506/556372.html,其他,徐汇区房管局,2025-05-13,✅ 已验证,2025-06-04T12:32:26.919100
肆月｜游心寓目 伊丽莎白公寓时间：2025-04-27,https://www.xuhui.gov.cn/zfjg_qzfbm_fgj_bmdt/20250417/555498.html,其他,徐汇区复兴中,1878年4月23日,✅ 已验证,2025-06-04T12:32:27.579938
热评丨织密“服务网” 让“好人才”遇见“好职位”时间：2025-06-03,https://www.xuhui.gov.cn/gwyxx_gwyxx/20250603/557877.html,其他,,2025-06-03,✅ 已验证,2025-06-04T12:32:28.232368
本区域包含繁简体切换、无障碍工具条打开按钮、关怀版打开按钮，请使用tab按钮切换浏览,https://www.xuhui.gov.cn/fangtuju/,住房保障,徐汇区房管局,2025-05-27,✅ 已验证,2025-06-04T12:32:28.906558
2024年徐汇区小微企业贴息贴费（第一批）审核通过名单,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c06920eedbe0192235ebcb3003e,医疗保障,徐汇区新型工业化推进办,2024-09-24,✅ 已验证,2025-06-04T12:32:29.600943
