标题,分类,发布部门,发布时间,链接,企业基本要求,申报条件,申报材料,申报时间,资金支持,其他优惠,内容摘要
徐汇区关于推动具身智能产业发展的若干意见,AI/人工智能,徐汇区新型工业化推进办,2024-11-21,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab01934dd6cfbd09bb,对新注册或新迁入的符合区域具身智能产业发展导向的企业，可给予不超过新增实缴注册资本5%的开办奖励，单个创新主体最高2000万元，可分年度拨付; 对规模以上创新企业，可给予不超过其年度营业收入的3%，给予最高2000万元的经营奖励; 支持企业申报上海市和国家标杆企业与应用场景推荐目录，打造行业级示范应用; 对具有行业引领和示范效应的技术应用与场景建设项目，单个项目最高可按照不超过核定总投入的80%，给予最高500万元的奖励支持; 支持创新主体主导研究制定具身智能领域国际标准、国家标准、行业标准等，提升标准制定和实施能力,上述主体需经营状态正常、信用记录良好、符合政策申报条件,,（三）在本意见自2024年X月X日起试行，有效期至2025年X月X日; 徐汇区关于推动具身智能产业发展的若干意见 首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202400008主题分类 : 政策法规发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区关于推动具身智能产业发展的若干意见发布时间： 2024-11-21,对取得市级及以上专项资金支持的项目，最高可按照1:1的比例予以配套支持; 鼓励具身智能产业创新主体小升规，对创新主体达规纳统的可给予10万元一次性奖励; 支持中小企业资质申请，对首次认定上海市“专精特新”中小企业给予10万元一次性奖励，对首次认定国家级专精特新“小巨人”的企业可给予最高不超过50万元的一次性奖励; 可给予不超过年度研发投入30%的奖励支持，单个创新主体年度支持最高1000万元,二、支持领域本意见重点支持具身智能相关领域高质量发展，对辐射范围广、科创含量高、带动能力大、标杆作用强、应用前景好的项目、主体、平台、产品及服务予以优先支持,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202400008主题分类 : 政策法规发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区关于推动具身智能产业发展的若干意见发布时间： 2024-11-21
                                        点击数： 1342状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询徐汇区关于推动具身智能产业发展的若干意见（征求意见稿）为贯彻落实《上海市促进智能机器人产业高质量创新发展行动方案（2023-202"
徐汇区关于推动人工智能产业高质量发展的若干意见,AI/人工智能,徐汇区新型工业化推进办,2024-11-21,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab01934dd52e3d09b9,对新注册或新迁入的符合区域人工智能产业发展导向的企业，可给予不超过新增实缴注册资本5%的开办奖励，单个创新主体最高2000万元，可分年度拨付; 支持创新主体做大做强，对规模以上创新企业，可给予不超过其年度营业收入的3%，给予最高3000万元的经营奖励; 鼓励算力集群规模化发展，对创新主体购买或租用算力，可给予不超过实际算力投入的30%的奖励支持，单个创新主体年度支持最高2000万元; 鼓励掌握行业性或专业性语料资源的创新主体提供高质量语料，支持形成语料服务产品，最高可按不超过合同额的30%，单个创新主体年度最高500万元的补贴支持; 鼓励主体积极推动场景资源开放，面向市场解决应用场景需求，打造具有行业引领、示范效应的技术应用与场景建设项目,上述主体需经营状态正常、信用记录良好、符合政策申报条件,,（三）在本意见自2024年X月X日起试行，有效期至2025年X月X日; 徐汇区关于推动人工智能产业高质量发展的若干意见 首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202400007主题分类 : 政策法规发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区关于推动人工智能产业高质量发展的若干意见发布时间： 2024-11-21,对取得市级及以上专项资金支持的项目，最高可按照1:1的比例予以配套支持; 对创新主体达规纳统的可给予10万元一次性奖励; 支持中小企业资质申请，对首次认定上海市“专精特新”的中小企业给予10万元一次性奖励，对首次认定国家级专精特新“小巨人”的企业可给予最高不超过50万元的一次性奖励; 鼓励算力集群规模化发展，对创新主体购买或租用算力，可给予不超过实际算力投入的30%的奖励支持，单个创新主体年度支持最高2000万元,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202400007主题分类 : 政策法规发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区关于推动人工智能产业高质量发展的若干意见发布时间： 2024-11-21
                                        点击数： 1512状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询徐汇区关于推动人工智能产业高质量发展的若干意见（征求意见稿）为深入贯彻党的二十届三中全会精神，全面落实市委市政府对徐汇人工智"
徐汇区关于支持低空经济产业发展的扶持意见（试行）,产业发展,徐汇区新型工业化推进办,2024-11-21,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab01934dd3b1c409b7,鼓励开展物流配送、短途载驳、空中游览等业务，支持打造以龙华机场为中心的低空交通枢纽，开通示范性短驳航线，对取得行业主管部门审批航线且常态化运营的企业，经综合评估，可给予年度不超过500万元的支持,,,徐汇区关于支持低空经济产业发展的扶持意见（试行） 首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202400006主题分类 : 政策法规发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区关于支持低空经济产业发展的扶持意见（试行）发布时间： 2024-11-21,鼓励金融机构提供信贷，支持国有资本参与低空经济投资，提供多元化融资渠道和资金支持; 对集聚企业效果明显的主体，可给予不超过100万元的一次性支持; 对低空经济总部型企业和高能级项目，经认定，可给予不超过1000万元的一次性开办支持; 支持低空经济经营实体在本区建造或购买自用办公用房、产业载体，可给予不超过实际投入费用的10%且不超过1000万元的一次性支持; 支持各类经营主体积极参与低空经济标准制定，对主导制定并获批准发布低空飞行器产品、低空起降设施、低空运营服务等领域标准且实施后取得良好成效的，可给予不超过50万元的一次性奖励,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202400006主题分类 : 政策法规发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区关于支持低空经济产业发展的扶持意见（试行）发布时间： 2024-11-21
                                        点击数： 1905状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询徐汇区关于支持低空经济产业发展的扶持意见（试行）（征求意见稿）为积极响应国家、本市关于低空经济产业高质量发展的战略部署，抢"
徐汇区关于支持西岸人工智能大模型科创街区的扶持意见,AI/人工智能,徐汇区新型工业化推进办,2024-10-31,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0192e1617de30643,鼓励应用场景单位开放场景，鼓励建设人工智能大模型应用场景联合研发平台和创新场景应用实验室，对具有行业引领和示范效应的技术应用与场景建设项目，经综合评价，最高可按照项目合同金额的80%，给予不超过500万元的资金奖励,上述主体需经营状态正常、信用记录良好、符合政策申报条件,,4.本意见自2024年8月1日起施行，有效期至2025年12月31日; 徐汇区关于支持西岸人工智能大模型科创街区的扶持意见 首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/规范性文件索引号 : YS0024369970202400004主题分类 : 政策法规发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区关于支持西岸人工智能大模型科创街区的扶持意见发布时间： 2024-10-31,对通过市级以上专项资金支持的项目，最高可按照1:1的比例予以配套支持; 支持国内顶尖人工智能科学家和创新团队汇聚，符合本区产业发展导向、具有一定技术实力和创新能力的人工智能大模型企业，经认定，可给予最高500万元的资金支持; 企业人工智能大模型相关产品取得商业成果的，经综合评价，最高可按销售合同金额的15%，给予销售方不超过1000万元的一次性补贴支持; 对成功在境内外资本市场公开发行股票上市的相关企业，经认定，最高可给予600万元的一次性奖励,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/规范性文件索引号 : YS0024369970202400004主题分类 : 政策法规发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区关于支持西岸人工智能大模型科创街区的扶持意见发布时间： 2024-10-31
                                        点击数： 1694状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询徐汇区关于支持西岸人工智能大模型科创街区建设的扶持意见为全面落实市委市政府对徐汇发展人工智能大模型的功能定位，聚焦打响"
《徐汇区关于支持西岸人工智能大模型科创街区建设的扶持意见》的政策解读,AI/人工智能,徐汇区新型工业化推进办,2024-10-28,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0192d0b4816d0493,,,,《徐汇区关于支持西岸人工智能大模型科创街区建设的扶持意见》的政策解读 首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/政策解读索引号 : YS0024369970202400003主题分类 : -发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站《徐汇区关于支持西岸人工智能大模型科创街区建设的扶持意见》的政策解读发布时间： 2024-10-28,,四是加强综合服务支撑，包括完善金融赋能产业发展、强化人才服务保障等两条具体政策,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/政策解读索引号 : YS0024369970202400003主题分类 : -发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站《徐汇区关于支持西岸人工智能大模型科创街区建设的扶持意见》的政策解读发布时间： 2024-10-28
                                        点击数： 812状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询《徐汇区关于支持西岸人工智能大模型科创街区建设的扶持意见》的政策解读一、出台背景为全面落实市委市政府对徐汇发展"
2024年徐汇区小微企业贴息贴费（第一批）审核通过名单,AI/人工智能,徐汇区新型工业化推进办,2024-09-24,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c06920eedbe0192235ebcb3003e,,,点击数： 428状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询2024年徐汇区小微企业贴息贴费（第一批）审核通过名单根据《徐汇区关于支持中小企业及产业能级提升的扶持意见》（徐商务发〔2022〕30 号），上海市徐汇区新型工业化推进办公室开展了2024年小微企业贴息贴费（第一批）政策受理工作，已完成相关审核，现将本区2024年小微企业贴息贴费（第一批）通过审核的企业名单予以公示（附件）,2024年徐汇区小微企业贴息贴费（第一批）审核通过名单 首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202400001主题分类 : 业务类发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站2024年徐汇区小微企业贴息贴费（第一批）审核通过名单发布时间： 2024-09-24,,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202400001主题分类 : 业务类发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站2024年徐汇区小微企业贴息贴费（第一批）审核通过名单发布时间： 2024-09-24
                                        点击数： 428状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询2024年徐汇区小微企业贴息贴费（第一批）审核通过名单根据《徐汇区关于支持中小企业及产业能级提升的扶持意见》（徐商务发〔"
徐汇区新型工业化推进办公室信息公开指南,产业发展,徐汇区新型工业化推进办,2024-09-18,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0691eb9e11019203e2a8880062,,,（三）申请注意事项1、申请获取政府信息，应当填写《政府信息公开申请表》，申请表可在区政府信息公开集中接收申请窗口领取或在“上海徐汇”门户网站政府信息公开专栏下载打印，网上申请的可直接在线填写; 通过邮政寄送或传真提交申请的，应随申请表附有效身份证件复印件; 3、申请表应准确载明申请人的姓名或者名称、联系方式、获取政府信息的方式及其载体形式,徐汇区新型工业化推进办公室信息公开指南 首页/政务公开/委办局/徐汇区新型工业化推进办公室/政府信息公开/政府信息公开指南索引号 : -主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区新型工业化推进办公室信息公开指南发布时间： 2024-09-18,4、政府信息公开申请内容不明确的，行政机关给予指导和释明，并自收到申请之日起7个工作日内一次性告知申请人作出补正，说明需要补正的事项和合理的补正期限,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/政府信息公开/政府信息公开指南索引号 : -主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区新型工业化推进办公室信息公开指南发布时间： 2024-09-18
                                        点击数： 339状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询徐汇区新型工业化推进办公室信息公开指南为便于公民、法人和其他组织及时、准确获取徐汇区各行政机关的政府信息，提高政府工作的透明度，建设法治政府，充分发挥政府信息对人民群众生产、生活和经济社会活动"
徐汇区新型工业化推进办公室下属单位,产业发展,徐汇区新型工业化推进办,2024-09-18,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0691eb9e11019203e2188e0060,,,,徐汇区新型工业化推进办公室下属单位 首页/政务公开/委办局/徐汇区新型工业化推进办公室/机构信息/下属单位索引号 : -主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区新型工业化推进办公室下属单位发布时间： 2024-09-18,,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/机构信息/下属单位索引号 : -主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区新型工业化推进办公室下属单位发布时间： 2024-09-18
                                        点击数： 434状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询下属事业单位简介1.单位名称：上海市徐汇区新型工业化促进中心（上海市徐汇区中小企业发展促进中心）2.主要职责：协助推进区域新型工业化、人工智能相关工作，促进区域内优质中小企业发展3.办公地址：漕溪北路336号"
徐汇区新型工业化推进办公室领导分工,产业发展,徐汇区新型工业化推进办,2024-09-18,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0691eb9e11019203e18611005e,,,,徐汇区新型工业化推进办公室领导分工 首页/政务公开/委办局/徐汇区新型工业化推进办公室/人事信息/领导分工索引号 : -主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区新型工业化推进办公室领导分工发布时间： 2024-09-18,,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/人事信息/领导分工索引号 : -主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区新型工业化推进办公室领导分工发布时间： 2024-09-18
                                        点击数： 681状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询领导班子成员姓名职务分工陈勇新型工业化办党组书记、主任领导新型工业化办全面工作，分管综合科郭岩涛新型工业化办副主任分管人工智能发展科、中小企业服务科庄子希新型工业化办副主任协管综合科、分管工业科、下属事业单位"
上海市徐汇区新型工业化推进办公室机关介绍,产业发展,徐汇区新型工业化推进办,2024-09-18,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0691eb9e11019203e0b48d005c,,,,上海市徐汇区新型工业化推进办公室机关介绍 首页/政务公开/委办局/徐汇区新型工业化推进办公室/机构信息/机关介绍索引号 : -主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市徐汇区新型工业化推进办公室机关介绍发布时间： 2024-09-18,,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/机构信息/机关介绍索引号 : -主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市徐汇区新型工业化推进办公室机关介绍发布时间： 2024-09-18
                                        点击数： 459状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询机关简介1.机关名称：上海市徐汇区新型工业化推进办公室2.门户网站：https://www.xuhui.gov.cn/3.办公地址：上海漕溪北路366号1号楼5楼4.办公时间：上午8：30-11：30，"
上海市徐汇区新型工业化推进办公室机构设置,产业发展,徐汇区新型工业化推进办,2024-09-18,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0691eb9e11019203dfc981005a,负责组织实施工业领域产业政策，监测工业经济运行态势，指导行业技术创新、技术进步、技术改造，助推工业上楼，打造智造空间; 做好创新型、专精特新等优质中小企业梯度培育工作,,,上海市徐汇区新型工业化推进办公室机构设置 首页/政务公开/委办局/徐汇区新型工业化推进办公室/机构信息/机构设置索引号 : -主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市徐汇区新型工业化推进办公室机构设置发布时间： 2024-09-18,,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/机构信息/机构设置索引号 : -主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市徐汇区新型工业化推进办公室机构设置发布时间： 2024-09-18
                                        点击数： 533状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询上海市徐汇区新型工业化推进办公室设下列内设机构:（一）综合科。负责机关日常运转、内外联系和综合协调工作。负责信访、建议提案办理、党务政务公开、信息化建设等工作。负责党风廉政建设和政风行风建设。统筹协调本"
上海市徐汇区新型工业化推进办公室机关职能,产业发展,徐汇区新型工业化推进办,2024-09-18,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0691eb9e11019203dc97c80058,（二）监测、分析本区工业、生产性服务业、人工智能、软件和信息服务业等行业的运行情况和发展态势，制定结构调整和相应扶持政策; （五）统筹推进制造业技术创新体系建设和应用，推进产业创新载体建设，指导行业技术创新和技术进步，推动技术改造，加快重点产业创新突破，促进科技创新和产业创新融合发展; （十）协同有关部门落实主管行业领域安全生产工作，督促和指导相关生产经营单位落实企业安全生产主体责任,,,上海市徐汇区新型工业化推进办公室机关职能 首页/政务公开/委办局/徐汇区新型工业化推进办公室/机构信息/机关职能索引号 : -主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市徐汇区新型工业化推进办公室机关职能发布时间： 2024-09-18,,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/机构信息/机关职能索引号 : -主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市徐汇区新型工业化推进办公室机关职能发布时间： 2024-09-18
                                        点击数： 327状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询上海市徐汇区新型工业化推进办公室机关职能（一）贯彻落实国家、本市关于工业、人工智能、软件和信息服务业、生产性服务业等领域的法律、法规、规章和方针、政策，研究拟订并组织实施本区的发展战略、专项规划、年度计"
上海市廉租住房申请家庭复审公示（2025年5月28日),住房保障,徐汇区住房保障和房屋管理局,2025年5月28日,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d01971586d610037d,,,,上海市廉租住房申请家庭复审公示（2025年5月28日) 首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500040主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月28日)发布时间： 2025-05-28,,,"首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500040主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月28日)发布时间： 2025-05-28
                                        点击数： 116状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询上海市廉租住房申请家庭复审公示根据上海市廉租住房管理有关规定，按照“公开、公平、公正”的原则做好廉租住房申请审核工作，"
上海市廉租住房申请家庭复审公示（2025年5月28日),住房保障,徐汇区住房保障和房屋管理局,2025年5月28日,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0197158dc4fa0380,,,,上海市廉租住房申请家庭复审公示（2025年5月28日) 首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500041主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月28日)发布时间： 2025-05-28,,,"首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500041主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月28日)发布时间： 2025-05-28
                                        点击数： 106状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询上海市廉租住房申请家庭复审公示根据上海市廉租住房管理有关规定，按照“公开、公平、公正”的原则做好廉租住房申请审核工作，"
上海市廉租住房申请家庭复审公示（2025年5月23日),住房保障,徐汇区住房保障和房屋管理局,2025年5月23日,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196fbe1cfd801ad,,,,上海市廉租住房申请家庭复审公示（2025年5月23日) 首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500039主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月23日)发布时间： 2025-05-23,,,"首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500039主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月23日)发布时间： 2025-05-23
                                        点击数： 165状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询上海市廉租住房申请家庭复审公示根据上海市廉租住房管理有关规定，按照“公开、公平、公正”的原则做好廉租住房申请审核工作，"
上海市廉租住房申请家庭复审公示（2025年5月21日),住房保障,徐汇区住房保障和房屋管理局,2025年5月21日,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196f1b1b401014b,,,,上海市廉租住房申请家庭复审公示（2025年5月21日) 首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500038主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月21日)发布时间： 2025-05-21,,,"首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500038主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月21日)发布时间： 2025-05-21
                                        点击数： 139状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询上海市廉租住房申请家庭复审公示根据上海市廉租住房管理有关规定，按照“公开、公平、公正”的原则做好廉租住房申请审核工作，"
上海市廉租住房申请家庭复审公示（2025年5月15日)2,住房保障,徐汇区住房保障和房屋管理局,2025年5月15日,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196d2e55cac0075,,,,上海市廉租住房申请家庭复审公示（2025年5月15日)2 首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500037主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月15日)2发布时间： 2025-05-15,,,"首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500037主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月15日)2发布时间： 2025-05-15
                                        点击数： 220状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询上海市廉租住房申请家庭复审公示根据上海市廉租住房管理有关规定，按照“公开、公平、公正”的原则做好廉租住房申请审核工作"
上海市廉租住房申请家庭复审公示（2025年5月15日),住房保障,徐汇区住房保障和房屋管理局,2025年5月15日,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196d19436d4006e,,,,上海市廉租住房申请家庭复审公示（2025年5月15日) 首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500036主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月15日)发布时间： 2025-05-15,,,"首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500036主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月15日)发布时间： 2025-05-15
                                        点击数： 189状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询上海市廉租住房申请家庭复审公示根据上海市廉租住房管理有关规定，按照“公开、公平、公正”的原则做好廉租住房申请审核工作，"
徐汇区住房保障和房屋管理局2024年保障性安居工程中央专项补助资金分配结果,住房保障,徐汇区住房保障和房屋管理局,2025-05-14,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196cc8571fe003e,,,点击数： 788状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询详细内容见附件; 附件下载：上海市徐汇区住房保障和房屋管理局2024年保障性安居工程中央财政专项补助资金分配结果.pdf公众意见*姓 名：*手机号码：身份证号：电子邮箱：*您的留言：发送留言我要发表意见如果您已经注册请先登录，如果您尚未注册先注册分享：收藏打印关闭窗口字号：大中小,徐汇区住房保障和房屋管理局2024年保障性安居工程中央专项补助资金分配结果 首页/政务公开/委办局/徐汇区住房保障和房屋管理局/财政信息/专项资金联动公开索引号 : YS0024364570202500035主题分类 : 其他类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区住房保障和房屋管理局2024年保障性安居工程中央专项补助资金分配结果发布时间： 2025-05-14,徐汇区住房保障和房屋管理局2024年保障性安居工程中央专项补助资金分配结果 首页/政务公开/委办局/徐汇区住房保障和房屋管理局/财政信息/专项资金联动公开索引号 : YS0024364570202500035主题分类 : 其他类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区住房保障和房屋管理局2024年保障性安居工程中央专项补助资金分配结果发布时间： 2025-05-14,,"首页/政务公开/委办局/徐汇区住房保障和房屋管理局/财政信息/专项资金联动公开索引号 : YS0024364570202500035主题分类 : 其他类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区住房保障和房屋管理局2024年保障性安居工程中央专项补助资金分配结果发布时间： 2025-05-14
                                        点击数： 788状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询详细内容见附件。附件下载：上海市徐汇区住房保障和房屋管理局2024年保障性安居工程中央财政专项补助资"
